date,ticker,shares_outstanding,nav,flow_daily,as_of_date
2018-01-03,EEM,837900000.0,48.12,0.0,2018-01-03
2018-01-04,EEM,837900000.0,48.45,0.0,2018-01-04
2018-01-05,EEM,845100000.0,48.8,348840000.0,2018-01-05
2018-01-08,EEM,855000000.0,49.03,483120000.0,2018-01-08
2018-01-09,EEM,855000000.0,48.96,0.0,2018-01-09
2018-01-10,EEM,855000000.0,48.65,0.0,2018-01-10
2018-01-11,EEM,858150000.0,48.63,153247500.0,2018-01-11
2018-01-12,EEM,858150000.0,49.08,0.0,2018-01-12
2018-01-17,EEM,865350000.0,49.67,0.0,2018-01-17
2018-01-18,EEM,865350000.0,49.87,0.0,2018-01-18
2018-01-19,EEM,865350000.0,50.07,0.0,2018-01-19
2018-01-22,EEM,870300000.0,50.31,247846500.0,2018-01-22
2018-01-23,EEM,873000000.0,50.87,135837000.0,2018-01-23
2018-01-24,EEM,880200000.0,51.13,366264000.0,2018-01-24
2018-01-25,EEM,880200000.0,51.32,0.0,2018-01-25
2018-01-26,EEM,881100000.0,51.71,46188000.0,2018-01-26
2018-01-29,EEM,895500000.0,51.5,744624000.0,2018-01-29
2018-01-30,EEM,899550000.0,50.67,208575000.0,2018-01-30
2018-01-31,EEM,899550000.0,50.96,0.0,2018-01-31
2018-01-02,EEM,837900000.0,47.07,0.0,2017-12-29
2018-01-16,EEM,865350000.0,49.08,350136000.0,2018-01-12
2018-01-03,EFA,1206000000.0,70.75,211890000.0,2018-01-03
2018-01-04,EFA,1206000000.0,71.8,0.0,2018-01-04
2018-01-05,EFA,1206000000.0,72.21,0.0,2018-01-05
2018-01-08,EFA,1206000000.0,72.14,0.0,2018-01-08
2018-01-09,EFA,1206000000.0,72.35,0.0,2018-01-09
2018-01-10,EFA,1206000000.0,72.58,0.0,2018-01-10
2018-01-11,EFA,1206000000.0,72.62,0.0,2018-01-11
2018-01-12,EFA,1206000000.0,73.07,0.0,2018-01-12
2018-01-17,EFA,1206000000.0,73.68,0.0,2018-01-17
2018-01-18,EFA,1206000000.0,73.6,0.0,2018-01-18
2018-01-19,EFA,1206000000.0,73.97,0.0,2018-01-19
2018-01-22,EFA,1206000000.0,74.25,0.0,2018-01-22
2018-01-23,EFA,1206000000.0,74.79,0.0,2018-01-23
2018-01-24,EFA,1206000000.0,75.04,0.0,2018-01-24
2018-01-25,EFA,1206000000.0,75.15,0.0,2018-01-25
2018-01-26,EFA,1206000000.0,75.08,0.0,2018-01-26
2018-01-29,EFA,1206000000.0,74.62,0.0,2018-01-29
2018-01-30,EFA,1177200000.0,74.16,-2149056000.0,2018-01-30
2018-01-31,EFA,1156800000.0,74.0,-1512864000.0,2018-01-31
2018-01-02,EFA,1203000000.0,70.49,0.0,2017-12-29
2018-01-16,EFA,1206000000.0,73.07,0.0,2018-01-12
2018-01-03,GLD,283200000.0,124.7978,0.0,2018-01-03
2018-01-04,GLD,283200000.0,124.7585,0.0,2018-01-04
2018-01-05,GLD,282800000.0,125.0087,-49903400.0,2018-01-05
2018-01-08,GLD,282800000.0,125.2703,0.0,2018-01-08
2018-01-09,GLD,281800000.0,124.4195,-125270300.0,2018-01-09
2018-01-10,GLD,280800000.0,125.2486,-124419500.0,2018-01-10
2018-01-11,GLD,280800000.0,125.5604,0.0,2018-01-11
2018-01-12,GLD,280800000.0,125.915,0.0,2018-01-12
2018-01-17,GLD,280800000.0,126.748,0.0,2018-01-17
2018-01-18,GLD,284800000.0,126.4192,506992000.0,2018-01-18
2018-01-19,GLD,286800000.0,126.6788,252838400.0,2018-01-19
2018-01-22,GLD,286800000.0,126.4516,0.0,2018-01-22
2018-01-23,GLD,287700000.0,126.5261,113806440.0,2018-01-23
2018-01-24,GLD,287700000.0,128.4515,0.0,2018-01-24
2018-01-25,GLD,287700000.0,128.5687,0.0,2018-01-25
2018-01-26,GLD,287300000.0,128.3965,-51427480.0,2018-01-26
2018-01-29,GLD,286800000.0,127.5096,-64198250.0,2018-01-29
2018-01-30,GLD,286400000.0,127.6078,-51003840.0,2018-01-30
2018-01-31,GLD,285000000.0,127.6206,-178650920.0,2018-01-31
2018-01-02,GLD,283200000.0,124.5286,-49223040.0,2018-01-02
2018-01-16,GLD,280800000.0,126.5786,0.0,2018-01-16
2018-01-03,IWM,273550000.0,154.14,-253902000.0,2018-01-03
2018-01-04,IWM,275150000.0,154.46,246624000.0,2018-01-04
2018-01-05,IWM,272050000.0,154.89,-478826000.0,2018-01-05
2018-01-08,IWM,272450000.0,155.07,61956000.0,2018-01-08
2018-01-09,IWM,271650000.0,154.9,-124056000.0,2018-01-09
2018-01-10,IWM,269950000.0,154.88,-263330000.0,2018-01-10
2018-01-11,IWM,271350000.0,157.57,216832000.0,2018-01-11
2018-01-12,IWM,273250000.0,158.08,299383000.0,2018-01-12
2018-01-17,IWM,275200000.0,157.56,257730000.0,2018-01-17
2018-01-18,IWM,275750000.0,156.58,86658000.0,2018-01-18
2018-01-19,IWM,270850000.0,158.66,-767242000.0,2018-01-19
2018-01-22,IWM,272750000.0,159.41,301454000.0,2018-01-22
2018-01-23,IWM,278500000.0,159.96,916607500.0,2018-01-23
2018-01-24,IWM,277300000.0,158.86,-191952000.0,2018-01-24
2018-01-25,IWM,276700000.0,159.06,-95316000.0,2018-01-25
2018-01-26,IWM,276150000.0,159.71,-87483000.0,2018-01-26
